Company Name,CB Insights Profile,Category,Product focus,Country,Investors,Key people,Latest Funding Round,Last Funding Date,Total funding ($M),Latest valuation ($M)
Jua,www.cbinsights.com/company/jua,Vertical AI,Energy,Switzerland,"Mehdi Ghissassi, Promus Ventures, Siraj Khaliq, session.vc, 468 Capital, Green Generation Fund, Innosuisse, Kadmos Capital, Notion Capital, Virtus Resources Partners","Andreas Brenner (CEO), Marvin Gabler (CTO)",Seed VC,2024-02-05 00:00:00,18.44,
Lelapa AI,www.cbinsights.com/company/lelapa-ai,AI infrastructure,Models - Local languages,South Africa,"Atlantica Ventures, Jeff Dean, Karim Beguir, Mozilla Ventures","George Konidaris (Founder), Pelonomi Moiloa (Founder), Vukosi Marivate (Founder), Jade Abbott (CTO)",Seed VC,2023-02-17 00:00:00,2.5,
Martian,www.cbinsights.com/company/martian,AI infrastructure,Model routing,United States,"Carya Venture Partners, General Catalyst, New Enterprise Associates, Prosus Ventures","Shriyash Upadhyay (Founder), Etan Ginsberg (Founder)",Seed VC,2023-11-16 00:00:00,9,
Modyfi,www.cbinsights.com/company/modyfi,Horizontal AI,Creator tools - Editing,United States,"Craft Ventures, Cursor Capital, General Catalyst, Habitat Partners, New Enterprise Associates","Joseph Burfitt (CEO), Piers Cowburn (CTO)",Seed VC,2023-08-23 00:00:00,17.08,26.01
Myko AI,www.cbinsights.com/company/myko-ai,Horizontal AI,Sales & CRM,United States,"AngelList, DayDream Ventures, Khosla Ventures, Zero Knowledge","Zheng Li (Founder), Trevor Lee (CEO)",Seed VC,2024-02-26 00:00:00,2.7,
Nous Research,www.cbinsights.com/company/nous-research,AI infrastructure,Models - Fine-tuned & local,United States,"Andreessen Horowitz, Alex Atallah, Balaji Srinivasan, Chris Prucha, Distributed Global, Gavin Uberti, OSS Capital, Sahil Chaudhary, Thibaud Zamora, Vipul Ved Prakash, Yonatan Ben Shimon",Jeffrey Quesnelle (Founder),Seed VC,2024-01-10 00:00:00,5.2,
Objective,www.cbinsights.com/company/objective,Horizontal AI,Search - Enterprise,United States,"Belal Badat Ventures, Georg Bauser, Matrix Partners, Mike Cafarella, Two Sigma Ventures, Vipul Ved Prakash","Joachim Daiber (Founder), Lance Hasson (Founder), Pablo Mendes (CEO)",Seed VC,2023-10-18 00:00:00,13,
OpenEvidence,www.cbinsights.com/company/openevidence,Vertical AI,Healthcare,United States,"Daniel Nadler, Brian Sheth, Jim Breyer, Ken Moelis, Mayo Clinic Platform Accelerate",Zachary Ziegler (CTO),Incubator,2023-07-31 00:00:00,32,425
Phind,www.cbinsights.com/company/hello-2,Horizontal AI,Coding,United States,"A.Capital, Y Combinator","Justin Wei (Founder), Michael Royzen (CEO)",Convertible Note,2022-09-08 00:00:00,0.5,
Retrocausal,www.cbinsights.com/company/retrocausal,Vertical AI,Manufacturing,United States,"Plug and Play Detroit, Techstars Seattle Accelerator, Argon Ventures, Ascend Vietnam Ventures, Differential Ventures, Glasswing Ventures, Hypertherm Ventures, Incubate Fund, Indicator Ventures, One Way Ventures, SaaS Venture Capital, Stage Venture Partners, Techstars Ventures","Zeeshan Zia (CEO), Quoc-Huy Tran (CTO), Andrey Konin (Chief Architect)",Seed VC,2023-11-30 00:00:00,8.82,11.04
Rosebud AI,www.cbinsights.com/company/rosebud-ai,Vertical AI,Gaming & virtual worlds,United States,"Lattice Capital, Mehta Ventures, Soma Capital, VenTek Ventures, L'Oreal, Y Combinator, Foothill Ventures, Khosla Ventures, Animoca Brands, PKO Investments, Sfermion",Lisha Li (CEO),Seed VC,2021-12-21 00:00:00,8.98,50
Sakana AI,www.cbinsights.com/company/sakana,AI infrastructure,Models - New architectures,Japan,"500 Global, Alex Wang, Basis Set, Clem Delangue, Geodesic Capital, Global Brain, JAFCO, Jeff Dean, July Fund, KDDI Open Innovation Fund, Khosla Ventures, Learn Capital, Lux Capital, Miyako Capital, NTT, Sony, Ministry of Economy Trade and Industry","David Ha (Founder), Llion Jones (Founder), Ren Ito (Founder)",Grant,2024-02-02 00:00:00,30,200
Tenstorrent,www.cbinsights.com/company/tenstorrent,AI infrastructure,Chips,Canada,"Real Ventures, Eclipse Ventures, Epiq Capital, Fidelity Investments, Moore Capital Management, EPIQ Capital Group, Fidelity Ventures, Hyundai Motor Company, Maverick Capital, Samsung Catalyst","Ivan Hamer (Founder), Jim Keller (President)",Convertible Note,2023-08-02 00:00:00,325.7,1000
TrojAI,www.cbinsights.com/company/trojai,AI infrastructure,Machine learning security,Canada,"Techstars Montreal AI Accelerator, Concrete Ventures, New Brunswick Innovation Foundation, Techstars Ventures, Build Ventures, Flying Fish Venture Partners, Creative Destruction Lab, Google for Startups Accelerator: Canada","Stephen Goddard (Founder), James Stewart (CEO)",Incubator,2023-02-28 00:00:00,3.11,
Twelve Labs,www.cbinsights.com/company/twelvelabs,Horizontal AI,Search - Video,United States,"Techstars, Plug and Play Accelerator, Alex Wang, Expa, Fei-Fei Li, Index Ventures, Jack Conte, Oren Etzioni, Position Ventures, Radical Ventures, Techstars Ventures, Lukas Biewald, Spring Ventures, WndrCo, Intel, Korea Investment Partners, NVentures, Samsung NEXT","Aiden Lee (Founder), Sung Kim (Founder), Dave Chung (Founder), Soyoung Lee (Founder), Jae Lee (CEO), Rick Kjellberg (CFO)",Seed VC,2023-10-24 00:00:00,27.12,3.19
Vayu Robotics,www.cbinsights.com/company/vayu-robotics,Vertical AI,Auto & mobility,United States,"Alumni Ventures, Khosla Ventures, Lockheed Martin Ventures, ReMY Investors & Consultants, Sierra Ventures","Kartik Venkataraman (Founder), Achuta Kadambi (Founder), Ramesh Raskar (Founder), Anand Gopalan (CEO), Nitish Srivastava (CTO), Mahesh Krishnamurthi (Chief Product Officer)",Seed VC,2023-10-03 00:00:00,12.7,
Wraithwatch,www.cbinsights.com/company/wraithwatch,Horizontal AI,Cybersecurity,United States,"Founders Fund, Human Capital, XYZ Ventures","Nik Seetharaman (CEO), Grace Clemente (President), Carlos Mas (CTO)",Seed VC,2023-11-02 00:00:00,8,35.98
Xanadu,www.cbinsights.com/company/xanadu,AI infrastructure,Chips,Canada,"Creative Destruction Lab, Golden Ventures, OMERS Ventures, Real Ventures, Georgian, Radical Ventures, BDC Capital, Bessemer Venture Partners, Capricorn Holdings, In-Q-Tel, OMERS, Tiger Global Management, Porsche Automobil Holding, Government of Canada, Innovate UK, and others",Christian Weedbrook (Founder),Grant,2024-03-11 00:00:00,267.08,1000
XetHub,www.cbinsights.com/company/xethub,AI infrastructure,Versioning & experiment tracking,United States,Madrona Venture Group,"Ajit Banerjee (Founder), Rajat Arya (Founder), Yucheng Low (CEO), Prasid Pathak (Chief Marketing Officer)",Seed VC,2023-01-09 00:00:00,7.5,
